name	chrom	start	end	score	strand	NMid	gene_name	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study	mm9_name	mm39ID
mmu_circ_0000063	chr1	92069241	92076216	0	-	NM_207225	Hdac4	6975	6975	mm_head, mm_brain2	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, intronic, upstream_start, UTR5	NM_207225	Hdac4	Memczak2013	mm9_circ_014154	chr1:92069241-92076216
mmu_circ_0000064	chr1	92075977	92076216	0	-	NM_207225	Hdac4	239	239	mm_head, mm_brain1, C2C12-control-cyto, C2C12-control-ins	None	ALT_ACCEPTOR, CDS, coding, OVCODE, OVEXON, upstream_start, UTR5	NM_207225	Hdac4	Memczak2013, Wang2012	mm9_circ_008885	chr1:92075977-92076216
mmu_circ_0000065	chr1	93334392	93334465	0	+	NM_133808	Hdlbp	73	73	mm_ES, mm_head	None	ANTISENSE, coding, INTERNAL, UTR3	NM_133808	Hdlbp	Memczak2013	mm9_circ_011810	chr1:93334392-93334465
mmu_circ_0000066	chr1	118347169	118347648	0	+	NM_029709	Clasp1	479	479	mm_head, mm_brain2, C2C12-control-cyto	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_029709	Clasp1	Memczak2013, Wang2012	mm9_circ_001415	chr1:118347169-118347648
mmu_circ_0000067	chr1	119649593	119693652	0	-	NM_019933	Ptpn4	44059	633	mm_ES, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_019933	Ptpn4	Memczak2013	mm9_circ_003388	chr1:119649593-119693652
mmu_circ_0000068	chr1	119669084	119701001	0	-	NM_019933	Ptpn4	31917	518	mm_head, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_019933	Ptpn4	Memczak2013	mm9_circ_010323	chr1:119669084-119701001
mmu_circ_0000069	chr1	119692760	119693652	0	-	NM_019933	Ptpn4	892	219	mm_ES	None	ANNOTATED, CDS, coding, INTERNAL	NM_019933	Ptpn4	Memczak2013	mm9_circ_017361	chr1:119692760-119693652
mmu_circ_0000070	chr1	119700778	119711319	0	-	NM_019933	Ptpn4	10541	230	mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_019933	Ptpn4	Memczak2013	mm9_circ_006083	chr1:119700778-119711319
mmu_circ_0000071	chr1	121149602	121240054	0	-	NM_133748	Insig2	90452	84466	mm_brain1	None	ALT_DONOR, CDS, coding, downstream_end, UTR3	NM_133748	Insig2	Memczak2013	mm9_circ_011148	chr1:121149602-121240054
mmu_circ_0000072	chr1	123828817	123829248	0	-	NM_199021	Dpp10	51011	211	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_199021	Dpp10	Memczak2013	mm9_circ_006534	chr1:123828817-123829248
mmu_circ_0000072	chr1	123829248	123832903	0	-	NM_199021	Dpp10	51011	211	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_199021	Dpp10	Memczak2013	mm9_circ_006534	chr1:123829248-123832903
mmu_circ_0000072	chr1	123781894	123828817	0	-	NM_199021	Dpp10	51011	211	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_199021	Dpp10	Memczak2013	mm9_circ_006534	chr1:123781894-123828817
mmu_circ_0000073	chr1	125496283	125507064	0	+	NM_028787	Slc35f5	10781	571	mm_ES, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_028787	Slc35f5	Memczak2013	mm9_circ_017702	chr1:125496283-125507064
mmu_circ_0000074	chr1	127719341	127727290	0	+	NM_028399	Ccnt2	7949	463	mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_028399	Ccnt2	Memczak2013	mm9_circ_011539	chr1:127719341-127727290
mmu_circ_0000075	chr1	128121196	128151378	0	+	NM_181750	R3hdm1	30182	1005	mm_ES, mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_181750	R3hdm1	Memczak2013	mm9_circ_017561	chr1:128121196-128151378
mmu_circ_0000076	chr1	130981595	130981659	0	-	NM_008551	Mapkapk2	64	64	mm_ES, mm_head	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, UTR3	NM_008551	Mapkapk2	Memczak2013	mm9_circ_007599	chr1:130981595-130981659
mmu_circ_0000077	chr1	130982444	130982568	0	+	NM_008551	Mapkapk2	124	124	mm_ES, mm_head	None	ANTISENSE, coding, INTERNAL, UTR3	NM_008551	Mapkapk2	Memczak2013	mm9_circ_017208	chr1:130982444-130982568
mmu_circ_0000078	chr1	131501584	131501770	0	+	None	None	186	186	mm_brain1	None	INTERGENIC	None	None	Memczak2013	mm9_circ_010964	chr1:131501584-131501770
mmu_circ_0000079	chr1	133680826	133681487	0	-	NM_213616	Atp2b4	661	661	mm_brain1, mm_brain2	None	ALT_ACCEPTOR, CDS, coding, upstream_start, UTR5	NM_213616	Atp2b4	Memczak2013	mm9_circ_013750	chr1:133680826-133681487
mmu_circ_0000080	chr1	135346974	135348091	0	-	NM_153774	Ipo9	1117	351	mm_head	None	ANNOTATED, CDS, coding, INTERNAL	NM_153774	Ipo9	Memczak2013	mm9_circ_017549	chr1:135346974-135348091
mmu_circ_0000081	chr1	138967737	138990709	0	+	NM_001166501	Dennd1b	22972	486	mm_ES, mm_head, mm_brain1, mm_brain2, C2C12-control-cyto, C2C12-control-mem, C2C12-shMbnl12-cyto, C2C12-shMbnl12-mem	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001166501	Dennd1b	Memczak2013, Wang2012	mm9_circ_002352	chr1:138967737-138990709
mmu_circ_0000082	chr1	138967737	139038223	0	+	NM_001166501	Dennd1b	70486	963	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_001166501	Dennd1b	Memczak2013	mm9_circ_016808	chr1:138967737-139038223
mmu_circ_0000083	chr1	138981083	138990709	0	+	NM_181347	Dennd1b	9626	316	mm_head, mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_181347	Dennd1b	Memczak2013	mm9_circ_009558	chr1:138981083-138990709
mmu_circ_0000084	chr1	140290686	140310833	0	+	NM_001081027	Kcnt2	20147	363	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_001081027	Kcnt2	Memczak2013	mm9_circ_012594	chr1:140290686-140310833
mmu_circ_0000085	chr1	140290686	140378042	0	+	NM_001081027	Kcnt2	87356	1019	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_001081027	Kcnt2	Memczak2013	mm9_circ_016043	chr1:140290686-140378042
mmu_circ_0000086	chr1	150282212	150283328	0	+	NM_133780	Tpr	1116	262	mm_ES, mm_head, C2C12-control-cyto, C2C12-control-mem, C2C12-shMbnl12-cyto, C2C12-shMbnl12-mem	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_133780	Tpr	Memczak2013, Wang2012	mm9_circ_006079	chr1:150282212-150283328
mmu_circ_0000087	chr1	151351890	151354376	0	-	NM_011277	Rnf2	2486	466	mm_ES, mm_head	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	NM_011277	Rnf2	Memczak2013	mm9_circ_001489	chr1:151351890-151354376
mmu_circ_0000088	chr1	151672686	151672738	0	+	NM_001039644	Edem3	52	52	mm_head	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic	NM_001039644	Edem3	Memczak2013	mm9_circ_012265	chr1:151672686-151672738
mmu_circ_0000089	chr1	152719786	152720158	0	-	NM_001160256	Smg7	372	372	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_001160256	Smg7	Memczak2013	mm9_circ_000025	chr1:152719786-152720158
mmu_circ_0000090	chr1	153358487	153359618	0	-	NM_007842	Dhx9	1131	274	mm_head, C2C12-control-cyto	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_007842	Dhx9	Memczak2013, Wang2012	mm9_circ_000727	chr1:153358487-153359618
mmu_circ_0000091	chr1	155049731	155073181	0	+	NM_021433	Stx6	23450	656	mm_ES, mm_head, mm_brain1, mm_brain2, C2C12-control-cyto, C2C12-control-mem	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_021433	Stx6	Memczak2013, Wang2012	mm9_circ_013647	chr1:155049731-155073181
mmu_circ_0000092	chr1	155054709	155054804	0	-	NM_021433	Stx6	95	95	mm_head	None	ANTISENSE, coding, INTERNAL, intronic	NM_021433	Stx6	Memczak2013	mm9_circ_016437	chr1:155054709-155054804
mmu_circ_0000093	chr1	155722855	155724473	0	-	NM_001039184	Cep350	1618	1618	mm_brain1	None	ALT_DONOR, CDS, coding, INTERNAL, UTR3	NM_001039184	Cep350	Memczak2013	mm9_circ_003795	chr1:155722855-155724473
mmu_circ_0000094	chr1	155828899	155838306	0	-	NM_001039184	Cep350	9407	1016	mm_head, C2C12-control-mem, C2C12-shMbnl12-cyto	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_001039184	Cep350	Memczak2013, Wang2012	mm9_circ_002304	chr1:155828899-155838306
mmu_circ_0000095	chr1	155834306	155838306	0	-	NM_001039184	Cep350	4000	402	mm_ES, mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	NM_001039184	Cep350	Memczak2013	mm9_circ_000111	chr1:155834306-155838306
mmu_circ_0000096	chr1	156697010	156735288	0	-	NM_023884	Ralgps2	38278	630	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	NM_023884	Ralgps2	Memczak2013	mm9_circ_004010	chr1:156697010-156735288
mmu_circ_0000097	chr1	156697010	156735348	0	-	NR_027640	Ralgps2	38338	795	mm_brain1, mm_brain2	None	ANNOTATED, INTERNAL, ncRNA	NR_027640	Ralgps2	Memczak2013	mm9_circ_006421	chr1:156697010-156735348
mmu_circ_0000098	chr1	156728155	156735348	0	-	NM_001159967	Ralgps2	7193	296	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL, UTR5	NM_001159967	Ralgps2	Memczak2013	mm9_circ_015637	chr1:156728155-156735348
mmu_circ_0000099	chr1	157001712	157006822	0	-	NM_177644	Rasal2	5110	953	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_177644	Rasal2	Memczak2013	mm9_circ_013084	chr1:157001712-157006822
mmu_circ_0000100	chr1	157114300	157126834	0	-	NM_177644	Rasal2	12534	252	mm_head, mm_brain1	None	ANNOTATED, CDS, coding, INTERNAL	NM_177644	Rasal2	Memczak2013	mm9_circ_000732	chr1:157114300-157126834
mmu_circ_0000101	chr1	158329617	158338692	0	+	NM_007495	Astn1	9075	967	mm_brain1, mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_007495	Astn1	Memczak2013	mm9_circ_004712	chr1:158329617-158338692
mmu_circ_0000102	chr1	158424726	158440104	0	+	NM_001205204	Astn1	15378	784	mm_brain2	None	ANNOTATED, CDS, coding, INTERNAL	NM_001205204	Astn1	Memczak2013	mm9_circ_010437	chr1:158424726-158440104
mmu_circ_0000103	chr1	159167852	159167992	0	-	NR_028518	Scarna3a	140	140	mm_ES, mm_head	None	ANTISENSE, ncRNA, upstream_start	NR_028518	Scarna3a	Memczak2013	mm9_circ_001878	chr1:159167852-159167992
